"5100001728/2017","","EV Parts Inc.","Posted","1710","Company Code 1710","115242.51","USD","2017-02-03","","","2017-01-18","","","",0,"X","00163E1988461ED6BAC7B978DE62A915"
"5100001729/2017","","EV Parts Inc.","Posted","1710","Company Code 1710","45062.34","USD","2017-02-03","","","2017-01-19","","","",0,"X","00163E1988461ED6BAC7B9C2043E6915"
"5100001730/2017","","EV Parts Inc.","Posted","1710","Company Code 1710","119394.78","USD","2017-02-03","","","2017-01-20","","","",0,"X","00163E1988461ED6BAC7B9F8CD49C915"
"5100001731/2017","","EV Parts Inc.","Posted","1710","Company Code 1710","77147.42","USD","2017-02-03","","","2017-01-11","","","",0,"X","00163E1988461ED6BAC7BA4394780915"
"5100001732/2017","","EV Parts Inc.","Posted","1710","Company Code 1710","17616.34","USD","2017-02-03","","","2017-01-12","","","",0,"X","00163E1988461ED6BAC7BA69E15C0915"
"5100002594/2017","","Vendor V8007","Posted","1710","Company Code 1710","132362.00","USD","2017-04-24","4500002964","","2017-04-05","","","",0,"X","00163E1A3DD91EE78A93C6BA4BC4867D"
"5100001733/2017","","EV Parts Inc.","Posted","1710","Company Code 1710","62915.50","USD","2017-02-03","","","2017-01-13","","","",0,"X","00163E1988461ED6BAC7BAA588DE4915"
"5100002595/2017","","Vendor V8007","Posted","1710","Company Code 1710","242760.00","USD","2017-04-24","4500002965","","2017-04-06","","","",0,"X","00163E1A3DD91EE78A93C717C3F0267D"
"5100001734/2017","","EV Parts Inc.","Posted","1710","Company Code 1710","37055.06","USD","2017-02-03","","","2017-01-14","","","",0,"X","00163E1988461ED6BAC7BAF2225D6915"
"5100002596/2017","","Vendor V8007","Posted","1710","Company Code 1710","50286.00","USD","2017-04-24","4500002966","","2017-04-07","","","",0,"X","00163E1A3DD91EE78A93C78A74F7467D"
"5100001735/2017","","EV Parts Inc.","Posted","1710","Company Code 1710","79316.92","USD","2017-02-03","","","2017-01-15","","","",0,"X","00163E1988461ED6BAC7BB208DE32915"
"5100002597/2017","","Vendor V8007","Posted","1710","Company Code 1710","111554.00","USD","2017-04-24","4500002967","","2017-04-08","","","",0,"X","00163E1A3DD91EE78A93C7EB1719267D"
"5100001736/2017","","EV Parts Inc.","Posted","1710","Company Code 1710","54931.74","USD","2017-02-03","","","2017-01-16","","","",0,"X","00163E1988461ED6BAC7BB6D2A59E919"
"5100002598/2017","","Vendor V8007","Posted","1710","Company Code 1710","50286.00","USD","2017-04-24","4500002968","","2017-04-09","","","",0,"X","00163E1A3DD91EE78A93C85D84FA467D"
