5105600784,4500000624,"USSU-VSF01","MZ-TG-Y120","ZYOUTH","2016-07-05","45254.41","45254.41","36.70","36.70","EUR"
5105600790,4500000632,"USSU-VSF01","MZ-RM-R100-01","ZFRAME","2016-07-06","46074.16","46074.16","131.27","131.27","EUR"
5105600797,4500000639,"USSU-VSF01","MZ-TG-Y120","ZYOUTH","2016-07-06","81333.19","81333.19","36.77","36.77","EUR"
5105600798,4500000640,"USSU-VSF01","MZ-TG-Y200","ZYOUTH","2016-07-06","26768.34","26768.34","61.26","61.26","EUR"
5105600802,4500000644,"USSU-VSF01","MZ-RM-R100-01","ZFRAME","2016-07-07","14655.70","14655.70","130.85","130.85","EUR"
5105600809,4500000651,"USSU-VSF01","MZ-TG-Y120","ZYOUTH","2016-07-07","98159.30","98159.30","36.65","36.65","EUR"
5105600815,4500000657,"USSU-VSF01","MZ-RM-R100-01","ZFRAME","2016-07-08","37856.44","37856.44","130.54","130.54","EUR"
5105600822,4500000664,"USSU-VSF01","MZ-TG-Y120","ZYOUTH","2016-07-08","73826.19","73826.19","36.57","36.57","EUR"
5105600827,4500000669,"USSU-VSF01","MZ-RM-R100-01","ZFRAME","2016-07-09","32765.40","32765.40","130.54","130.54","EUR"
5105600834,4500000676,"USSU-VSF01","MZ-TG-Y120","ZYOUTH","2016-07-09","24389.34","24389.34","36.57","36.57","EUR"
5105600843,4500000681,"USSU-VSF01","MZ-RM-R100-01","ZFRAME","2016-07-10","18536.60","18536.60","130.54","130.54","EUR"
5105600850,4500000688,"USSU-VSF01","MZ-TG-Y120","ZYOUTH","2016-07-10","57225.35","57225.35","36.57","36.57","EUR"
5105600855,4500000693,"USSU-VSF01","MZ-RM-R100-01","ZFRAME","2016-07-11","28549.58","28549.58","130.96","130.96","EUR"
5105600862,4500000700,"USSU-VSF01","MZ-TG-Y120","ZYOUTH","2016-07-11","79604.07","79604.07","36.68","36.68","EUR"
5105600867,4500000706,"USSU-VSF01","MZ-RM-R100-01","ZFRAME","2016-07-12","32671.41","32671.41","130.69","130.69","EUR"
5105600874,4500000713,"USSU-VSF01","MZ-TG-Y120","ZYOUTH","2016-07-12","49382.40","49382.40","36.61","36.61","EUR"
5105600879,4500000718,"USSU-VSF01","MZ-RM-R100-01","ZFRAME","2016-07-13","19799.47","19799.47","130.26","130.26","EUR"
5105600886,4500000725,"USSU-VSF01","MZ-TG-Y120","ZYOUTH","2016-07-13","90306.20","90306.20","36.49","36.49","EUR"
5105600891,4500000730,"USSU-VSF01","MZ-RM-R100-01","ZFRAME","2016-07-14","29033.13","29033.13","130.19","130.19","EUR"
5105600898,4500000737,"USSU-VSF01","MZ-TG-Y120","ZYOUTH","2016-07-14","73812.84","73812.84","36.47","36.47","EUR"
5105600903,4500000742,"USSU-VSF01","MZ-RM-R100-01","ZFRAME","2016-07-15","29249.92","29249.92","130.00","130.00","EUR"
5105600910,4500000749,"USSU-VSF01","MZ-TG-Y120","ZYOUTH","2016-07-15","71663.77","71663.77","36.42","36.42","EUR"
5105600915,4500000755,"USSU-VSF01","MZ-RM-R100-01","ZFRAME","2016-07-16","17029.95","17029.95","130.00","130.00","EUR"
5105600922,4500000762,"USSU-VSF01","MZ-TG-Y120","ZYOUTH","2016-07-16","40565.77","40565.77","36.42","36.42","EUR"
5105600933,4500000767,"USSU-VSF01","MZ-RM-R100-01","ZFRAME","2016-07-17","19499.95","19499.95","130.00","130.00","EUR"
5105600940,4500000774,"USSU-VSF01","MZ-TG-Y120","ZYOUTH","2016-07-17","40128.80","40128.80","36.42","36.42","EUR"
5105600941,4500000775,"USSU-VSF01","MZ-TG-Y200","ZYOUTH","2016-07-17","134492.36","134492.36","60.66","60.66","EUR"
5105600945,4500000779,"USSU-VSF01","MZ-RM-R100-01","ZFRAME","2016-07-18","16559.82","16559.82","129.37","129.37","EUR"
5105600952,4500000786,"USSU-VSF01","MZ-TG-Y120","ZYOUTH","2016-07-18","56460.59","56460.59","36.24","36.24","EUR"
5105600958,4500000791,"USSU-VSF01","MZ-RM-R100-01","ZFRAME","2016-07-19","33359.66","33359.66","129.80","129.80","EUR"
5105600965,4500000798,"USSU-VSF01","MZ-TG-Y120","ZYOUTH","2016-07-19","65338.48","65338.48","36.36","36.36","EUR"
5105600970,4500000804,"USSU-VSF01","MZ-RM-R100-01","ZFRAME","2016-07-20","36795.29","36795.29","129.56","129.56","EUR"
5105600977,4500000811,"USSU-VSF01","MZ-TG-Y120","ZYOUTH","2016-07-20","84414.29","84414.29","36.29","36.29","EUR"
5105600982,4500000816,"USSU-VSF01","MZ-RM-R100-01","ZFRAME","2016-07-21","19846.43","19846.43","129.72","129.72","EUR"
5105600989,4500000823,"USSU-VSF01","MZ-TG-Y120","ZYOUTH","2016-07-21","63149.98","63149.98","36.34","36.34","EUR"
5105600994,4500000828,"USSU-VSF01","MZ-RM-R100-01","ZFRAME","2016-07-22","30826.07","30826.07","130.62","130.62","EUR"
5105601001,4500000835,"USSU-VSF01","MZ-TG-Y120","ZYOUTH","2016-07-22","48442.49","48442.49","36.59","36.59","EUR"
5105601006,4500000841,"USSU-VSF01","MZ-RM-R100-01","ZFRAME","2016-07-23","17764.17","17764.17","130.62","130.62","EUR"
5105601013,4500000848,"USSU-VSF01","MZ-TG-Y120","ZYOUTH","2016-07-23","53052.58","53052.58","36.59","36.59","EUR"
