"USCU_S03","Eastside Bikes","1\,710","Company Code 1710",2017,1,"","2017-02-14","90\,018\,008",1,"RV","","0.00","103155.00","USD","1400009637.00",2017
"USCU_S17","Bikepros","1\,710","Company Code 1710",2017,1,"","2017-03-29","90\,021\,061",1,"RV","","0.00","58380.00","USD","1400010662.00",2017
"USCU_S15","Northside Bikes","1\,710","Company Code 1710",2017,1,"0090021060","2017-03-29","90\,021\,060",1,"RV","","0.00","116115.00","USD","1400010660.00",2017
"USCU_L01","Skymart Corp","1\,710","Company Code 1710",2017,1,"0090018007","2017-02-14","90\,018\,007",1,"RV","","0.00","104160.00","USD","1400010275.00",2017
"USCU_L06","Dexon","1\,710","Company Code 1710",2017,1,"","2017-03-29","90\,021\,059",1,"RV","","0.00","18645.00","USD","1400011009.00",2017
"USCU_S09","Greenhigh Bikes","1\,710","Company Code 1710",2017,1,"","2017-02-14","90\,018\,006",1,"RV","","0.00","209007.00","USD","1400009675.00",2017
"USCU_S05","Greater Hartford Area","1\,710","Company Code 1710",0,2,"","2017-03-29","90\,021\,058",1,"RV","","3.00","19558.00","USD","0.00",2017
"USCU_S13","Rolling Bike Shop","1\,710","Company Code 1710",2017,1,"","2017-02-14","90\,018\,005",1,"RV","","0.00","111356.00","USD","1400009695.00",2017
"USCU_S16","Gogo Bikes","1\,710","Company Code 1710",2017,1,"0090021057","2017-03-29","90\,021\,057",1,"RV","","0.00","226689.00","USD","1400010661.00",2017
"USCU_S11","Bike World","1\,710","Company Code 1710",2017,1,"0090018004","2017-02-14","90\,018\,004",1,"RV","","0.00","8800.00","USD","1400009684.00",2017
"USCU_S16","Gogo Bikes","1\,710","Company Code 1710",2017,1,"0090021056","2017-03-29","90\,021\,056",1,"RV","","0.00","37125.00","USD","1400010661.00",2017
"USCU_S17","Bikepros","1\,710","Company Code 1710",2017,1,"","2017-02-14","90\,018\,003",1,"RV","","0.00","2825.00","USD","1400009720.00",2017
"USCU_S17","Bikepros","1\,710","Company Code 1710",2017,1,"","2017-03-29","90\,021\,055",1,"RV","","0.00","77154.00","USD","1400010662.00",2017
"USCU_S09","Greenhigh Bikes","1\,710","Company Code 1710",2017,1,"","2017-02-14","90\,018\,002",1,"RV","","0.00","5650.00","USD","1400009675.00",2017
"USCU_S13","Rolling Bike Shop","1\,710","Company Code 1710",2017,1,"","2017-03-29","90\,021\,054",1,"RV","","0.00","2080.00","USD","1400010658.00",2017
"USCU_L07","Interlude Inc","1\,710","Company Code 1710",2017,1,"","2017-02-14","90\,018\,001",1,"RV","","0.00","3390.00","USD","1400009602.00",2017
"USCU_S16","Gogo Bikes","1\,710","Company Code 1710",2017,1,"0090021053","2017-03-29","90\,021\,053",1,"RV","","0.00","352314.00","USD","1400010661.00",2017
"USCU_S01","Performance Bikes","1\,710","Company Code 1710",2017,1,"","2017-02-14","90\,018\,000",1,"RV","","0.00","6215.00","USD","1400011213.00",2017
"USCU_L04","Quotex","1\,710","Company Code 1710",2017,1,"","2017-03-29","90\,021\,052",1,"RV","","0.00","21240.00","USD","1400011997.00",2017
"USCU_L10","CostClub","1\,710","Company Code 1710",2017,1,"0090017999","2017-02-14","90\,017\,999",1,"RV","","0.00","25990.00","USD","1400009619.00",2017
"USCU_L05","Bluestar Corp","1\,710","Company Code 1710",2017,1,"","2017-03-29","90\,021\,051",1,"RV","","0.00","15750.00","USD","1400010645.00",2017
"USCU_S16","Gogo Bikes","1\,710","Company Code 1710",2017,1,"0090017998","2017-02-14","90\,017\,998",1,"RV","","0.00","1330.00","USD","1400009713.00",2017
"USCU_L04","Quotex","1\,710","Company Code 1710",2017,1,"","2017-03-29","90\,021\,050",1,"RV","","0.00","20240.00","USD","1400011997.00",2017
"USCU_S09","Greenhigh Bikes","1\,710","Company Code 1710",2017,1,"","2017-02-14","90\,017\,997",1,"RV","","0.00","3570.00","USD","1400009675.00",2017
"USCU_S17","Bikepros","1\,710","Company Code 1710",2017,1,"","2017-03-28","1\,400\,009\,920",2,"DZ","","0.00","-481448.00","USD","1400009920.00",2017
"USCU_S16","Gogo Bikes","1\,710","Company Code 1710",2017,1,"","2017-03-28","1\,400\,009\,919",2,"DZ","","0.00","-60118.00","USD","1400009919.00",2017
"USCU_S15","Northside Bikes","1\,710","Company Code 1710",2017,1,"","2017-03-28","1\,400\,009\,918",2,"DZ","","0.00","-2610.00","USD","1400009918.00",2017
"USCU_S05","Greater Hartford Area","1\,710","Company Code 1710",2017,1,"","2017-02-14","90\,017\,996",1,"RV","","0.00","630.00","USD","1400012050.00",2017
"USCU_S14","Cityscape Cycles","1\,710","Company Code 1710",2017,1,"","2017-03-28","1\,400\,009\,917",2,"DZ","","0.00","-268044.00","USD","1400009917.00",2017
"USCU_L01","Skymart Corp","1\,710","Company Code 1710",2017,1,"0090017995","2017-02-14","90\,017\,995",1,"RV","","0.00","3570.00","USD","1400010275.00",2017
"USCU_S13","Rolling Bike Shop","1\,710","Company Code 1710",2017,1,"","2017-03-28","1\,400\,009\,916",2,"DZ","","0.00","-10125.00","USD","1400009916.00",2017
"USCU_L09","Bigmart","1\,710","Company Code 1710",2017,1,"0090017994","2017-02-14","90\,017\,994",1,"RV","","0.00","26670.00","USD","1400011341.00",2017
"USCU_S12","Century Cycles","1\,710","Company Code 1710",2017,1,"","2017-03-28","1\,400\,009\,915",2,"DZ","","0.00","-14360.00","USD","1400009915.00",2017
"USCU_S14","Cityscape Cycles","1\,710","Company Code 1710",2017,1,"0090017993","2017-02-14","90\,017\,993",1,"RV","","0.00","42812.00","USD","1400010095.00",2017
"USCU_S11","Bike World","1\,710","Company Code 1710",2017,1,"","2017-03-28","1\,400\,009\,914",2,"DZ","","0.00","-66419.00","USD","1400009914.00",2017
"USCU_L01","Skymart Corp","1\,710","Company Code 1710",2017,1,"0090017992","2017-02-14","90\,017\,992",1,"RV","","0.00","41810.00","USD","1400010275.00",2017
