"F1V0","Legend assembly Co.\,Ltd.","F001","Tools Inc. Europe",0,2,0,"2016-01-04","1900000588",1,"KR","",3,"-10.00","EUR","",2016
"SATVEN01","Test Vendor for SFIN 1511(SAT) Test Vendor for SFIN 1511(SAT)","FQM1","FQM1",0,2,0,"2015-08-26","1900000109",1,"KR","",3,"-3000.00","EUR","",2015
"F1V0","Legend assembly Co.\,Ltd.","F001","Tools Inc. Europe",0,2,0,"2016-01-04","1900000587",1,"KR","",3,"-300.00","EUR","",2016
"SATVEN01","Test Vendor for SFIN 1511(SAT) Test Vendor for SFIN 1511(SAT)","FQM1","FQM1",0,2,0,"2015-08-26","1900000108",1,"KR","",3,"-3000.00","EUR","",2015
"F1V0","Legend assembly Co.\,Ltd.","F001","Tools Inc. Europe",0,2,0,"2016-01-04","1900000586",1,"KR","",3,"-200.00","EUR","",2016
"SATVEN01","Test Vendor for SFIN 1511(SAT) Test Vendor for SFIN 1511(SAT)","FQM1","FQM1",0,2,0,"2015-08-26","1900000107",1,"KR","",3,"-3000.00","EUR","",2015
"F1V0","Legend assembly Co.\,Ltd.","F001","Tools Inc. Europe",0,2,0,"2016-01-04","1900000585",1,"KR","",3,"-100.00","EUR","",2016
"SATVEN01","Test Vendor for SFIN 1511(SAT) Test Vendor for SFIN 1511(SAT)","FQM1","FQM1",0,2,0,"2015-08-26","1900000085",1,"KR","",3,"-100000.00","EUR","",2015
"F1V0","Legend assembly Co.\,Ltd.","F001","Tools Inc. Europe",0,2,0,"2016-01-04","1900000584",1,"KR","",3,"-40.00","EUR","",2016
"VEN12","VEN 12 Vendor 12","ZCA2","Testing Check(CA)",0,2,0,"2015-08-26","1900000041",1,"KR","",3,"-400.00","CAD","",2015
"F1V0","Legend assembly Co.\,Ltd.","F001","Tools Inc. Europe",0,2,0,"2016-01-04","1900000583",1,"KR","",3,"-444.00","EUR","",2016
"22","eileen log test1 ei","F003","Tools Inc. Europe",0,2,0,"2015-08-26","1900000004",1,"KR","",3,"-4444.00","EUR","",2015
"F1V0","Legend assembly Co.\,Ltd.","F001","Tools Inc. Europe",0,2,0,"2016-01-04","1900000582",1,"KR","",3,"-333.00","EUR","",2016
"21","f ei","F003","Tools Inc. Europe",0,2,0,"2015-08-26","1900000003",1,"KR","",3,"-333.00","EUR","",2015
"FQM_VE01","FQM_VE01","FQM2","FQM2",0,2,0,"2015-08-26","1900000001",3,"KR","",3,"-2400.00","EUR","",2015
"F1V0","Legend assembly Co.\,Ltd.","F001","Tools Inc. Europe",0,2,0,"2016-01-04","1900000581",1,"KR","",3,"-222.00","EUR","",2016
"SATVEN01","Test Vendor for SFIN 1511(SAT) Test Vendor for SFIN 1511(SAT)","FQM1","FQM1",0,2,0,"2015-08-26","1700000019",2,"KA","",3,"1000.00","EUR","",2015
"F1V0","Legend assembly Co.\,Ltd.","F001","Tools Inc. Europe",0,2,0,"2016-01-04","1900000580",1,"KR","",3,"-111.00","EUR","",2016
