10001425,10,5400000012,10,"MH51623","",42,0,0,0,"HipStem\,Moore\,Straight\,Fenestratd\,46x165","MH Corp PGrp"
10001457,10,5400000013,10,"MZ-PROC-IT-IP-0032","4",0,0,0,0,"Apple iPhone 6 - 64GB","Group 004"
10001426,10,5400000014,10,"MH51623","",0,42,0,0,"HipStem\,Moore\,Straight\,Fenestratd\,46x165","MH Corp PGrp"
10001458,10,5400000015,10,"MH51623","",38,0,0,0,"HipStem\,Moore\,Straight\,Fenestratd\,46x165","MH Corp PGrp"
10000424,10,5400000003,10,"MZ-PROC-IT-IP-0032","4",0,0,0,0,"Apple iPhone 6 - 64GB","Group 004"
10002189,10,5400000027,10,"MH85001","",0,0,0,0,"Etanercept\,Auto-injectable\,50mg/mL","Mem Hosp RX PGrp"
10000261,10,4500011699,10,"ML-TG11","2",330,0,0,0,"Helmet - Aero Road","Group 002"
10002276,10,4500012641,10,"MH99917","",0,0,0,0,"Pad\, Gauze\, 4x4\, Sterile","Mem Hosp CS PGrp"
10002277,10,4500012800,10,"CH-1010","",0,0,0,0,"Acrylic resin","Raw Material"
10002261,10,4500012974,10,"ETO_CONTROL","1",0,7,0,0,"ETO Control Unit","Group 001"
10002278,10,4500012975,10,"CH-4100","",0,0,1,0,"Bag\, 10 LB","Packaging material"
10002282,10,4500012976,10,"PIOLEN PT20A15","2",0,0,0,0,"PIOLEN P T20A15 NAT OP900(PIO KUNSTSTOF)","Group 002"
10002284,10,4500012977,10,"","1",0,0,0,0,"","Group 001"
10002287,10,4500013171,10,"MZ-RM-A100-02","2",0,0,0,0,"Chicken Wings","Group 002"
10002290,10,4500013383,10,"TG10","1",0,0,0,0,"Bike Tools","Group 001"
10002291,10,4500013566,10,"TG10","1",0,0,0,0,"Bike Tools","Group 001"
10002292,10,4500013567,10,"TG10","1",0,0,0,0,"Bike Tools","Group 001"
10002293,10,4500013568,10,"TG10","1",0,0,0,0,"Bike Tools","Group 001"
10002294,10,4500013689,10,"","1",0,0,0,0,"","Group 001"
10002297,10,4500013692,10,"","1",0,0,0,0,"","Group 001"
10002305,10,4500013697,10,"TG10","1",0,0,0,0,"Bike Tools","Group 001"
10002307,10,4500013699,10,"MZ-PROC-OS-WB-0250","4",0,0,0,0,"White board 250cms","Group 004"
10002308,10,4500013700,10,"TG10","1",0,0,0,0,"Bike Tools","Group 001"
10002309,10,4500013701,10,"TG10","1",0,0,0,0,"Bike Tools","Group 001"
10002310,10,4500013702,10,"TG10","1",0,0,0,0,"Bike Tools","Group 001"
10002295,10,4500013690,10,"","1",0,0,0,0,"","Group 001"
10002296,10,4500013691,10,"","1",0,0,0,0,"","Group 001"
10002315,10,4500013703,10,"MZ-PROC-OS-WB-0250","4",0,0,0,0,"White board 250cms","Group 004"
10002311,10,4500013704,10,"MZ-PROC-OS-WB-0250","4",0,0,0,0,"White board 250cms","Group 004"
10002299,10,4500013693,10,"TG10","1",0,0,0,0,"Bike Tools","Group 001"
10002317,10,4500013707,10,"TG10","1",0,0,0,0,"Bike Tools","Group 001"
10002318,10,4500013708,10,"TG10","1",0,0,0,0,"Bike Tools","Group 001"
10002304,10,4500013696,10,"TG10","1",0,0,0,0,"Bike Tools","Group 001"
10002319,10,4500013822,10,"TG10","1",0,0,0,0,"Bike Tools","Group 001"
